Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-07,CM-YX-07 Back.webp,CM-YX-07.webp,alphabetical (numeric-aware),CM-YX-07.webp,CM-YX-07 Back.webp,"""CM-YX-07 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-09,CM-YX-09 Back.webp,CM-YX-09.webp,alphabetical (numeric-aware),CM-YX-09.webp,CM-YX-09 Back.webp,"""CM-YX-09 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-10,CM-YX-10 Back.webp,CM-YX-10.webp,alphabetical (numeric-aware),CM-YX-10.webp,CM-YX-10 Back.webp,"""CM-YX-10 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-100,CM-YX-100 Front.webp,CM-YX-100.webp,alphabetical (numeric-aware),CM-YX-100 Front.webp,CM-YX-100.webp,"""CM-YX-100 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-12,CM-YX-12 Back.webp,CM-YX-12.webp,alphabetical (numeric-aware),CM-YX-12.webp,CM-YX-12 Back.webp,"""CM-YX-12 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-18,CM-YX-18 Back.webp,CM-YX-18.webp,alphabetical (numeric-aware),CM-YX-18.webp,CM-YX-18 Back.webp,"""CM-YX-18 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-19,CM-YX-19 Back.webp,CM-YX-19.webp,alphabetical (numeric-aware),CM-YX-19.webp,CM-YX-19 Back.webp,"""CM-YX-19 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-20,CM-YX-20 Back.webp,CM-YX-20.webp,alphabetical (numeric-aware),CM-YX-20.webp,CM-YX-20 Back.webp,"""CM-YX-20 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-27,CM-YX-27 Front.webp,CM-YX-27.webp,alphabetical (numeric-aware),CM-YX-27 Front.webp,CM-YX-27.webp,"""CM-YX-27 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-30,CM-YX-30 Back.webp,CM-YX-30.webp,alphabetical (numeric-aware),CM-YX-30.webp,CM-YX-30 Back.webp,"""CM-YX-30 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-33,CM-YX-33 Back.webp,CM-YX-33.webp,alphabetical (numeric-aware),CM-YX-33.webp,CM-YX-33 Back.webp,"""CM-YX-33 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-36,CM-YX-36 Back.webp,CM-YX-36.webp,alphabetical (numeric-aware),CM-YX-36.webp,CM-YX-36 Back.webp,"""CM-YX-36 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-38,CM-YX-38 Front.webp,CM-YX-38.webp,alphabetical (numeric-aware),CM-YX-38 Front.webp,CM-YX-38.webp,"""CM-YX-38 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-41,CM-YX-41 Back.webp,CM-YX-41.webp,alphabetical (numeric-aware),CM-YX-41.webp,CM-YX-41 Back.webp,"""CM-YX-41 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-43,CM-YX-43 Back.webp,CM-YX-43.webp,alphabetical (numeric-aware),CM-YX-43.webp,CM-YX-43 Back.webp,"""CM-YX-43 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-47,CM-YX-47 Back.webp,CM-YX-47.webp,alphabetical (numeric-aware),CM-YX-47.webp,CM-YX-47 Back.webp,"""CM-YX-47 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-48,CM-YX-48 Back.webp,CM-YX-48.webp,alphabetical (numeric-aware),CM-YX-48.webp,CM-YX-48 Back.webp,"""CM-YX-48 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-50,CM-YX-50 Back.webp,CM-YX-50.webp,alphabetical (numeric-aware),CM-YX-50.webp,CM-YX-50 Back.webp,"""CM-YX-50 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-53,CM-YX-53 Back.webp,CM-YX-53.webp,alphabetical (numeric-aware),CM-YX-53.webp,CM-YX-53 Back.webp,"""CM-YX-53 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-54,CM-YX-54 Front.webp,CM-YX-54.webp,alphabetical (numeric-aware),CM-YX-54 Front.webp,CM-YX-54.webp,"""CM-YX-54 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-56,CM-YX-56 Back.webp,CM-YX-56.webp,alphabetical (numeric-aware),CM-YX-56.webp,CM-YX-56 Back.webp,"""CM-YX-56 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-62,CM-YX-62 Back.webp,CM-YX-62.webp,alphabetical (numeric-aware),CM-YX-62.webp,CM-YX-62 Back.webp,"""CM-YX-62 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-63,CM-YX-63 Back.webp,CM-YX-63.webp,alphabetical (numeric-aware),CM-YX-63.webp,CM-YX-63 Back.webp,"""CM-YX-63 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-64,CM-YX-64 Front.webp,CM-YX-64.webp,alphabetical (numeric-aware),CM-YX-64 Front.webp,CM-YX-64.webp,"""CM-YX-64 Front.webp"" is marked front"
