new_subset_name,main_set,source_insert_subset,variant,card_count,card_ids_sample,already_exists,action
2025 Topps Chrome Marvel - Indestructible Black Lazer Refractor SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Indestructible Black Lazer Refractor,SuperFractor,10,79397 79423 79425 79399 79404,no,create_then_move
2025 Topps Chrome Marvel - Marvel Icons Orange Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Icons,Orange Refractor,10,79353 79351 79360 79349 79337,no,create_then_move
2025 Topps Chrome Marvel - Marvel Icons Black Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Icons,Black Refractor,10,79362 79348 79357 79372 79345,no,create_then_move
2025 Topps Chrome Marvel - Marvel Icons SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Icons,SuperFractor,10,79369 79386 79358 79371 79380,yes,move_cards_to_existing
2025 Topps Chrome Marvel - Marvel Icons Red Wave Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Icons,Red Wave Refractor,10,79370 79387 79363 79343 79381,no,create_then_move
2025 Topps Chrome Marvel - The New Avengers 20th Anniversary SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - The New Avengers 20th Anniversary,SuperFractor,10,79544 79559 79540 79525 79558,yes,move_cards_to_existing
2025 Topps Chrome Marvel - The New Avengers 20th Anniversary Orange,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - The New Avengers 20th Anniversary,Orange,10,79545 79556 79521 79529 79513,yes,move_cards_to_existing
2025 Topps Chrome Marvel - The New Avengers 20th Anniversary Black,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - The New Avengers 20th Anniversary,Black,10,79546 79557 79515 79530 79560,yes,move_cards_to_existing
2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary,SuperFractor,10,81348 81366 81373 81354 81381,yes,move_cards_to_existing
2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary Orange Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary,Orange Refractor,10,81351 81370 81379 81358 81334,no,create_then_move
2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary Black Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary,Black Refractor,10,81352 81371 81380 81359 81336,no,create_then_move
2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections Black,2025 Topps Chrome Sapphire Edition Marvel,2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections,Black,10,79613 79623 79634 79631 79637,yes,move_cards_to_existing
2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections Red,2025 Topps Chrome Sapphire Edition Marvel,2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections,Red,10,79618 79652 79614 79633 79638,yes,move_cards_to_existing
2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections Padparadscha,2025 Topps Chrome Sapphire Edition Marvel,2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections,Padparadscha,10,79632 79651 79629 79636 79635,yes,move_cards_to_existing
2024 Upper Deck Women of Marvel - Battle Time Foil Lt Fx Red,2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,Foil Lt Fx Red,9,78332 78342 78339 78338 78322,yes,move_cards_to_existing
2025 Topps Chrome Marvel - Marvel Anniversaries Red Wave Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Anniversaries,Red Wave Refractor,9,78913 78909 78917 78924 78937,no,create_then_move
2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary Red Wave Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary,Red Wave Refractor,9,81349 81368 81377 81355 81337,no,create_then_move
2025 Topps Finest X-Men '97 - Remember It Laser Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Remember It,Laser Refractor,9,81708 82052 81711 82037 82033,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Remember It SuperFractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Remember It,SuperFractor,9,82034 82048 82036 82040 82041,yes,move_cards_to_existing
