year,set_name,cards_missing_images,set_adds_last_90_days,set_adds_all_time,set_unique_collectors,set_wishlist_adds
2025,2025 Kakawow Cosmos Marvel - Disco,16,6,6,3,2
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - UD Portraits,15,6,6,1,0
2026,Gold RayWave Refractor,198,6,6,6,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Purple Crystals,97,6,6,2,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Rainbow,99,6,6,4,0
2022,2022 Fleer Ultra Marvel Avengers - 2022 Fleer Ultra Marvel Avengers,10,5,101,5,2
2022,2022-23 Upper Deck Marvel Annual - 2022-23 Upper Deck Marvel Annual,3,5,87,5,0
2023,2023-24 Upper Deck Marvel Annual - Variant Cover,3,5,9,5,0
2025,Crossed Holo,67,5,8,4,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Seismic Gold,66,5,7,5,0
2025,2025 Topps Chrome Marvel Studios - Sky Blue RayWave Refractor,97,5,7,5,4
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Black,100,5,7,2,1
2025,2025 Topps Mint Marvel - Green Mint,15,5,6,3,0
2025,2025 Topps Chrome Marvel Studios - Thunderbolts,25,5,5,1,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Silver Rainbow,100,5,5,1,0
2026,Purple X-Fractor,198,5,5,4,0
2025,2025 Kakawow Phantom Marvel Rivals - Die-cut,37,5,5,1,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Purple,100,5,5,1,0
2023,2023 Upper Deck Marvel Eternals - 2023 Upper Deck Marvel Eternals,5,5,5,1,0
2026,Classic Comic Book Covers,10,5,5,4,0
1996,1996 Fleer Marvel Amalgam,69,4,143,3,0
2024,2024 SkyBox Marvel Masterpieces XL - Holofoil,15,4,25,7,1
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Plexi,26,4,12,6,0
2023,2023 Upper Deck Marvel Platinum - Blue Rainbow,20,4,11,4,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Pink Lasers,14,4,8,5,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Red Base,100,4,7,2,0
2026,Welcome to Brooklyn Postcard,2,4,6,3,0
2025,2025 Topps Chrome Marvel Studios - Rainbow Refractor,94,4,5,4,9
2024,2024 Upper Deck Women of Marvel - Foil Lt Fx - Blue,21,4,5,3,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Corner Box Creations Rainbow,16,4,5,4,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Precious Metal Gems Blue,47,4,5,5,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Precious Metal Gems Blue,93,4,5,5,0
2022,2022 Fleer Ultra Marvel Avengers - Animation Cels Red Autographs,79,4,4,1,0
2026,New York's Heroes,1,4,4,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Heavyweights,18,4,4,2,0
2023,2023 Upper Deck Marvel What If…? - Possibilities Red,4,4,4,1,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Gods of Marvel,9,4,4,2,0
2025,2025 Topps Chrome Marvel Studios - Ms. Marvel Speckle Refractor,2,4,4,2,1
2024,2024 Upper Deck Marvel Studios Series 1 - HoloGrFx Gold,2,4,4,1,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Aqua Sapphire,32,4,4,2,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Lunch Box Legends,10,4,4,1,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Rainbow,100,4,4,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Cosmic Annihilation,8,4,4,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Swordsmen,9,4,4,3,0
2024,2024 Upper Deck Marvel Avengers - Alternate Universe,25,4,4,3,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Dazzlers Green,30,4,4,1,0
2024,2024 Upper Deck Marvel Spider-Man Renditions - Legendary Responsibility Gaming Variant,5,4,4,1,0
2026,Base,117,4,4,1,0
2023,2023 Upper Deck Marvel Platinum - Black Rainbow,3,3,106,4,0
2022,2022 Upper Deck Allure Marvel Studios - 2022 Upper Deck Allure Marvel Studios,25,3,23,3,0
2022,2022-23 Upper Deck Marvel Annual - Number 1 Spot,1,3,18,4,0
2023,2023 Upper Deck Marvel What If…? - Frozen in Time,3,3,17,3,0
2025,Medallion,2,3,17,5,0
2023,2023 Upper Deck Marvel Platinum - Teal Wave,1,3,12,4,0
2023,2023 Upper Deck Marvel Platinum - Yellow Spotlight,4,3,12,4,0
2025,Glitch Holo,41,3,11,3,0
1992,1992 SkyBox Marvel Masterpieces - Lost Marvel Bonus Cards,1,3,8,2,0
2025,2025 Kakawow Aura Marvel - 2025 Kakawow Aura Marvel,130,3,6,3,1
2024,2024 SkyBox Metal Universe Marvel Avengers - Bronze FX,3,3,6,3,0
2025,Carnival Holo,85,3,5,3,0
1992,1992 SkyBox Marvel Masterpieces - Joe Jusko Signed Parallel,64,3,4,3,0
2021,2021 SkyBox Metal Universe Marvel Spider-Man - Palladium,73,3,4,3,0
2026,Storm's Orange Lightning Refractor,200,3,3,3,0
2025,2025 Kakawow Cosmos Marvel - Cosmos Green,52,3,3,2,0
2025,2025 Kakawow Cosmos Marvel - Hellfire Gala,16,3,3,1,1
2026,Blue Refractor,200,3,3,3,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections,10,3,3,1,1
2022,2022-23 Upper Deck Marvel Annual - Gold Linearity,6,3,3,2,0
2026,Storm's Purple Lightning Refractor,200,3,3,3,0
2026,Gold Wave Refractor,199,3,3,3,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Red Autograph,88,3,3,1,0
2023,2023 Upper Deck Marvel Wandavision - Purple Spell,67,3,3,1,0
2026,Purple Shimmer Refractor,199,3,3,3,0
