productId,name,imageUrl,price,platform
5606910,"Cable [Game Gear Promo]",,1497,"Marvel 1994 Ultra X-Men"
5078235,"Captain America vs. Red Skull #5-D",,459,"Marvel 1992 Masterpieces Battle Spectra"
5078369,"Iron Man [Silver Holofoil] #5",,418,"Marvel 1994 Masterpieces"
5077072,"She-Hulk #39",,195,"Marvel 1990 Universe"
5079203,"Gambit #15",,12521,"Marvel 1996 Masterpieces"
7983954,"Carol Danvers [Superfractor] #76",,635424,"Marvel 2024 Topps Chrome"
6859437,"She-Hulk [Diamond Preview] #39",,0,"Marvel 1990 Universe"
5077600,"Punisher 2099 #6",,454,"Marvel 1993 Universe"
5078204,"Silver Surfer #90",,249,"Marvel 1992 Masterpieces"
5078023,"Sealed Box",,45192,"Marvel 1992 Masterpieces"
5079318,"Mary Jane #24",,334,"Marvel 1994 Flair"
5077590,"Doom 2099 #1",,475,"Marvel 1993 Universe"
5078548,"Wolverine #2",,495,"Marvel 1992 X-Men Series 1"
8908625,"Rogue [Red Refractor] #76",,21250,"Marvel 2025 Topps Finest X-Men '97"
5077089,"Juggernaut #55",,183,"Marvel 1990 Universe"
5077231,"Iron Fist #28",,164,"Marvel 1991 Universe"
7813116,"Jean Grey [Ultraprints]",,450,"Marvel 1995 Ultra X-Men"
5606800,"Weapon X #47",,464,"Marvel 1994 Ultra X-Men"
5077050,"Hulk #17",,196,"Marvel 1990 Universe"
5079102,"Venom [Emotion Signature] #108",,2500,"Marvel 1995 Masterpieces"
5079452,"Spider-Man #6",,8525,"Marvel 1994 Flair Power Blast"
5077655,"Spider-Man #59",,272,"Marvel 1993 Universe"
5607062,"Storm #148",,336,"Marvel 1995 Ultra X-Men"
7982845,"Spider-man [Superfractor] #1",,331399,"Marvel 2024 Topps Chrome"
7813117,"Bishop [Ultraprints]",,598,"Marvel 1995 Ultra X-Men"
8236464,"Counterspell [Marvel Promo] #2",,9238,"Magic Secret Lair Drop"
7982831,"Spider-man #1",,333,"Marvel 2024 Topps Chrome"
5234455,"Spider-Man #78",,570,"Marvel 1995 Metal"
5077197,"Checklist #162",,664,"Marvel 1990 Universe"
5077799,"Wolverine #4",,297,"Marvel 1994 Universe"
5077097,"Magneto #63",,163,"Marvel 1990 Universe"
5079281,"Wolverine #92",,7741,"Marvel 1996 Masterpieces"
7325677,"Spider-Man [Green Precious Metal Gems] #114",,1300000,"2024 SkyBox Metal Universe Avengers"
5077114,"Apocalypse #80",,133,"Marvel 1990 Universe"
5077366,"Checklist #162",,278,"Marvel 1991 Universe"
5078384,"Venom [Bronze Holofoil] #9",,9927,"Marvel 1994 Masterpieces"
5078190,"Thanos #83",,244,"Marvel 1992 Masterpieces"
5077951,"Spider-Man #130",,212,"Marvel 1994 Universe"
5078256,"Wolverine #6",,202,"Marvel 1993 Masterpieces"
7667745,"Sealed Box [Inaugural Edition]",,40000,"Marvel 1994 Flair"
5079389,"Spider-Man 2099 #94",,204,"Marvel 1994 Flair"
5078748,"Cable #XH-2",,392,"Marvel 1992 X-Men Series 1 Hologram"
5606758,"Wolverine #6",,199,"Marvel 1994 Ultra X-Men"
9021030,"The Hulk [Diamond Preview] #3",,5310,"Marvel 1990 Universe"
5606911,"Gambit [Game Gear Promo]",,1200,"Marvel 1994 Ultra X-Men"
5077163,"Amazing Spider-Man #129 #129",,200,"Marvel 1990 Universe"
