Category,SetNumber/ID,Year,Name,MatchedWith,Similarity
EXACT_MATCH,CSV#3064,2023,"2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow","marvel 2023 upper deck platinum iconic covers Rainbow (ID:1800)",100%
EXACT_MATCH,CSV#3065,2023,"2023 Upper Deck Marvel Platinum - Orange Checkers","marvel 2023 upper deck platinum Orange Checkers (ID:1801)",100%
EXACT_MATCH,CSV#3067,2023,"2023 Upper Deck Marvel Platinum - Pink Pulsar","marvel 2023 upper deck platinum Pink Pulsar (ID:1802)",100%
EXACT_MATCH,CSV#3068,2023,"2023 Upper Deck Marvel Platinum - Platinum Duos","marvel 2023 upper deck platinum duos (ID:1795)",100%
EXACT_MATCH,CSV#3070,2023,"2023 Upper Deck Marvel Platinum - Platinum Duos Rainbow","marvel 2023 upper deck platinum duos Rainbow (ID:1796)",100%
EXACT_MATCH,CSV#3075,2023,"2023 Upper Deck Marvel Platinum - Purple Pixels","marvel 2023 upper deck platinum Purple Pixels (ID:1804)",100%
EXACT_MATCH,CSV#3076,2023,"2023 Upper Deck Marvel Platinum - Purple Rainbow","marvel 2023 upper deck platinum Purple Rainbow (ID:1805)",100%
EXACT_MATCH,CSV#3077,2023,"2023 Upper Deck Marvel Platinum - Rainbow","marvel 2023 upper deck platinum Rainbow (ID:1806)",100%
EXACT_MATCH,CSV#3078,2023,"2023 Upper Deck Marvel Platinum - Rainbow Color Wheel","marvel 2023 upper deck platinum Rainbow Color Wheel (ID:1807)",100%
EXACT_MATCH,CSV#3080,2023,"2023 Upper Deck Marvel Platinum - Red Prism","marvel 2023 upper deck platinum Red Prism (ID:1808)",100%
EXACT_MATCH,CSV#3081,2023,"2023 Upper Deck Marvel Platinum - Red Rainbow","marvel 2023 upper deck platinum Red Rainbow (ID:1809)",100%
EXACT_MATCH,CSV#3083,2023,"2023 Upper Deck Marvel Platinum - Seismic Gold","marvel 2023 upper deck platinum Seismic Gold (ID:1810)",100%
EXACT_MATCH,CSV#3084,2023,"2023 Upper Deck Marvel Platinum - Super Statistics","marvel 2023 upper deck platinum super statistics (ID:1811)",100%
EXACT_MATCH,CSV#3086,2023,"2023 Upper Deck Marvel Platinum - Super Statistics Rainbow","marvel 2023 upper deck platinum super statistics Rainbow (ID:1812)",100%
EXACT_MATCH,CSV#3087,2023,"2023 Upper Deck Marvel Platinum - Teal Wave","marvel 2023 upper deck platinum Teal Wave (ID:1813)",100%
EXACT_MATCH,CSV#3090,2023,"2023 Upper Deck Marvel Platinum - White Rainbow","marvel 2023 upper deck platinum White Rainbow (ID:1814)",100%
EXACT_MATCH,CSV#3091,2023,"2023 Upper Deck Marvel Platinum - Yellow Rainbow","marvel 2023 upper deck platinum Yellow Rainbow (ID:1816)",100%
EXACT_MATCH,CSV#3092,2023,"2023 Upper Deck Marvel Platinum - Yellow Spotlight","marvel 2023 upper deck platinum Yellow Spotlight (ID:1817)",100%
EXACT_MATCH,CSV#3286,2023,"2023 Upper Deck Marvel What If…?","marvel 2023 upper deck what if (ID:1818)",100%
EXACT_MATCH,CSV#3287,2023,"2023 Upper Deck Marvel What If…? - Acetate Originals","marvel 2023 upper deck what if acetate originals (ID:1819)",100%
EXACT_MATCH,CSV#3288,2023,"2023 Upper Deck Marvel What If…? - Black Diamond","marvel 2023 upper deck what if black diamond (ID:1820)",100%
EXACT_MATCH,CSV#3291,2023,"2023 Upper Deck Marvel What If…? - Flagship","marvel 2023 upper deck what if Flagship (ID:1827)",100%
EXACT_MATCH,CSV#3293,2023,"2023 Upper Deck Marvel What If…? - Holographics","marvel 2023 upper deck what if holographics (ID:1834)",100%
EXACT_MATCH,CSV#3294,2023,"2023 Upper Deck Marvel What If…? - Jambalaya","marvel 2023 upper deck what if jambalaya (ID:1836)",100%
EXACT_MATCH,CSV#3295,2023,"2023 Upper Deck Marvel What If…? - Medallion","marvel 2023 upper deck what if medallion (ID:1839)",100%
EXACT_MATCH,CSV#3296,2023,"2023 Upper Deck Marvel What If…? - Medallion Platinum","marvel 2023 upper deck what if medallion Platinum (ID:1840)",100%
EXACT_MATCH,CSV#3297,2023,"2023 Upper Deck Marvel What If…? - Medallion Violet","marvel 2023 upper deck what if medallion Violet (ID:1841)",100%
EXACT_MATCH,CSV#3298,2023,"2023 Upper Deck Marvel What If…? - Possibilities","marvel 2023 upper deck what if Possibilities (ID:1843)",100%
EXACT_MATCH,CSV#3301,2023,"2023 Upper Deck Marvel What If…? - Possibilities Red","marvel 2023 upper deck what if Possibilities Red (ID:1844)",100%
EXACT_MATCH,CSV#3442,2024,"2024 SkyBox Marvel Masterpieces XL - Battle Spectrum Gems","marvel 2024 skybox masterpieces xl battle spectrum Gems (ID:1911)",100%
EXACT_MATCH,CSV#3443,2024,"2024 SkyBox Marvel Masterpieces XL - Epic Purple Foil","marvel 2024 skybox masterpieces xl Epic Purple Foil (ID:1915)",100%
EXACT_MATCH,CSV#3444,2024,"2024 SkyBox Marvel Masterpieces XL - Gold Foil","marvel 2024 skybox masterpieces xl Gold Foil (ID:1917)",100%
EXACT_MATCH,CSV#3446,2024,"2024 SkyBox Marvel Masterpieces XL - Holofoil Kaleidoscope","marvel 2024 skybox masterpieces xl holofoil Kaleidoscope (ID:1920)",100%
EXACT_MATCH,CSV#3447,2024,"2024 SkyBox Marvel Masterpieces XL - Holofoil Speckle","marvel 2024 skybox masterpieces xl holofoil Speckle (ID:1921)",100%
EXACT_MATCH,CSV#3448,2024,"2024 SkyBox Marvel Masterpieces XL - Legendary Orange Foil","marvel 2024 skybox masterpieces xl Legendary Orange Foil (ID:1922)",100%
EXACT_MATCH,CSV#3450,2024,"2024 SkyBox Marvel Masterpieces XL - Silver Spectrum","marvel 2024 skybox masterpieces xl Silver Spectrum (ID:1928)",100%
EXACT_MATCH,CSV#3509,2024,"2024 Topps Chrome Marvel","marvel 2024 topps chrome (ID:1932)",100%
EXACT_MATCH,CSV#3511,2024,"2024 Topps Chrome Marvel - Avengers Infinity Red Refractor","marvel 2024 topps chrome avengers infinity Red Refractor (ID:1957)",100%
EXACT_MATCH,CSV#3512,2024,"2024 Topps Chrome Marvel - Avengers Infinity SuperFractor","marvel 2024 topps chrome avengers infinity Superfractor (ID:1958)",100%
EXACT_MATCH,CSV#3515,2024,"2024 Topps Chrome Marvel - Daredevil 60th Anniversary","marvel 2024 topps chrome daredevil 60th anniversary (ID:1975)",100%
EXACT_MATCH,CSV#3517,2024,"2024 Topps Chrome Marvel - Daredevil 60th Anniversary Gold Refractor","marvel 2024 topps chrome daredevil 60th anniversary Gold Refractor (ID:1977)",100%
