legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1437,"marvel 2021 x men metal universe planet metal Gold",2021,59,"Marvel 2021 X-Men metal Universe ",20,4221,"2021 SkyBox Metal Universe Marvel X-Men - Planet Metal Gold",98,subset_term_match_98%
1438,"marvel 2021 x men metal universe planet metal Platinum",2021,59,"Marvel 2021 X-Men metal Universe ",20,4222,"2021 SkyBox Metal Universe Marvel X-Men - Planet Metal Platinum",93,subset_term_match_93%
1629,"marvel 2023 fleer ultra wolverine adamantium",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",20,4768,"2023 Fleer Ultra Marvel Wolverine - Adamantium",100,token_overlap_100%
1630,"marvel 2023 fleer ultra wolverine adamantium Red",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",20,4769,"2023 Fleer Ultra Marvel Wolverine - Adamantium Red",100,token_overlap_100%
1666,"marvel 2023 fleer ultra wolverine pop culture",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",20,4814,"2023 Fleer Ultra Marvel Wolverine - Pop Culture",100,token_overlap_100%
1744,"marvel 2023 upper deck annual dark web",2023,,,20,5509,"2023-24 Upper Deck Marvel Annual - Dark Web",88,token_overlap_88%
1745,"marvel 2023 upper deck annual dark web Black",2023,,,20,5510,"2023-24 Upper Deck Marvel Annual - Dark Web Black",94,subset_term_match_94%
1746,"marvel 2023 upper deck annual dark web Purple",2023,,,20,5511,"2023-24 Upper Deck Marvel Annual - Dark Web Purple",89,token_overlap_89%
1747,"marvel 2023 upper deck annual dark web Turquoise",2023,,,20,5512,"2023-24 Upper Deck Marvel Annual - Dark Web Turquoise",89,token_overlap_89%
1756,"marvel 2023 upper deck annual sins of sinister",2023,,,20,5529,"2023-24 Upper Deck Marvel Annual - Sins of Sinister",89,token_overlap_89%
1858,"marvel 2024 skybox masterpieces '92 platinum corner box creations",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",20,6014,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Corner Box Creations",80,token_overlap_80%
1859,"marvel 2024 skybox masterpieces '92 platinum corner box creations Rainbow",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",20,6019,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Corner Box Creations Rainbow",82,token_overlap_82%
1064,"1995 fleer dc vs marvel impact",1995,2,"1995 Fleer DC vs Marvel ",18,2697,"1995 Fleer DC vs. Marvel Comics - Impact",86,token_overlap_86%
1400,"marvel 2020 upper deck annual humble beginnings",2020,58,"Marvel 20-21 Upper Deck Annual ",18,4149,"2020-21 Upper Deck Marvel Annual - Humble Beginnings",88,token_overlap_88%
1210,"marvel 1995 metal blaster",1995,26,"Marvel 1995 Metal ",18,2707,"1995 Metal Marvel",80,subset_term_match_80%
