legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1871,"marvel 2024 skybox masterpieces '92 platinum Pink Lasers Variant",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6035,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Pink Lasers",78,token_overlap_78%
1872,"marvel 2024 skybox masterpieces '92 platinum Plexi",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6036,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Plexi",75,token_overlap_75%
1877,"marvel 2024 skybox masterpieces '92 platinum Purple Crystals",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6045,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Purple Crystals",78,token_overlap_78%
1879,"marvel 2024 skybox masterpieces '92 platinum Rainbow",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6046,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Rainbow",75,token_overlap_75%
1283,"marvel 2002 topps spider man movie",2002,45,"Marvel 2002 Topps Spider Man Movie ",99,2796,"2002 Marvel Spider-Man",67,token_overlap_67%
1229,"marvel 1995 ultra x men all chromium Gold Signature",1995,28,"Marvel 1995 Ultra X-Men ",99,2700,"1995 Fleer Marvel Masterpieces - E-Motion Signature Series",40,subset_term_match_40%
1332,"marvel 2016 masterpieces buyback Autograph",2016,54,"Marvel 2016 Masterpieces ",99,3380,"2016 Upper Deck Marvel Masterpieces",60,token_overlap_60%
1137,"marvel 1992 comic images spider man II",1992,12,"Marvel 1992 Comic Images Spider Man",97,2636,"1992 Marvel Comics UK Overkill/Exploits of Spider-Man",44,token_overlap_44%
1377,"marvel 2020 masterpieces",2020,57,"Marvel 2020 Masterpieces ",97,4030,"2020 SkyBox Marvel Masterpieces",75,token_overlap_75%
1289,"marvel 2007 masterpieces",2007,46,"Marvel 2007 Masterpieces ",91,2810,"2007 SkyBox Marvel Masterpieces",75,token_overlap_75%
1887,"2024 Marvel Masterpieces Nahuel Grego Base",2024,72,"Marvel 2024 Skybox Masterpieces Nahuel Grego",91,6065,"2024 Upper Deck Marvel Masterpieces Nahuel Grego",71,token_overlap_71%
1236,"marvel 1996 fleer amalgam",1996,29,"Marvel 1996 Fleer Amalgam ",91,2730,"1996 Fleer/SkyBox Marvel Masterpieces",60,token_overlap_60%
1328,"marvel 2016 masterpieces",2016,54,"Marvel 2016 Masterpieces ",91,3380,"2016 Upper Deck Marvel Masterpieces",60,token_overlap_60%
1132,"marvel 1992 comic images punisher guts & gunpowder",1992,10,"Marvel 1992 Comic Images Punisher Guts & Gunpowder ",90,2277,"1992 SkyBox Marvel Masterpieces - Lost Marvel Bonus Cards",29,token_overlap_29%
